FILE NAME,THETA_X,THETA_Y,EXPECTED_Y,THETA_Z,HEAD_CENTER_X,HEAD_CENTER_Y,HEAD_CENTER_Z
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_1_1.raw,-5.30294,14.3575,19.6425,-1.22912,14.1651,-80.5714,776.428
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_1_2.raw,-6.15528,10.3561,23.6439,-1.24535,13.3234,-80.8174,777.026
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_1_3.raw,-6.08286,11.6845,22.3155,-1.79265,12.9452,-79.2956,775.692
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_2_1.raw,-6.13719,12.7027,-10.2027,-1.60057,11.1552,-80.0714,776.979
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_2_2.raw,0.0704831,12.9749,-10.4749,-1.83124,17.6895,-76.3209,771.298
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_2_3.raw,-1.46726,12.2933,-9.79329,-0.823638,19.677,-75.9566,771.63
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_3_1.raw,-3.01693,11.4915,-8.99148,-0.744191,20.6277,-76.8113,772.521
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_3_2.raw,1.58303,14.7529,-12.2529,-2.07293,15.4299,-71.5245,771.17
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_3_3.raw,1.72741,14.4588,-11.9588,-1.59177,15.444,-71.3284,770.905
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_4_1.raw,-0.380628,14.7431,19.2569,-1.61337,16.2565,-70.5477,769.864
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_4_2.raw,1.53212,12.7816,21.2184,-2.28678,13.9701,-73.6594,771.265
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_4_3.raw,0.0651561,17.6435,16.3565,-2.07454,10.4337,-71.7136,772.334
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_5_1.raw,-0.444532,16.1257,1.37433,-1.4135,13.7997,-72.8154,772.864
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_5_2.raw,-2.03358,17.0531,0.446924,-1.49885,14.5203,-72.4536,771.695
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_5_3.raw,-1.17562,16.6654,0.834566,-1.49207,14.6553,-72.6752,772.258
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_6_1.raw,-2.71745,16.4904,9.00961,-0.716818,16.6258,-75.0962,773.494
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_6_2.raw,-1.62525,17.2608,8.23923,-1.69084,12.251,-74.8801,773.574
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_6_3.raw,-1.22612,18.3665,7.13353,-1.25591,11.3888,-74.0622,773.934
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_7_1.raw,-1.89339,12.8164,-3.3164,-0.742108,15.3974,-72.8995,773.239
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_7_2.raw,1.27496,18.1507,-8.6507,-1.60482,16.0395,-72.2761,769.862
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_7_3.raw,1.66883,17.4934,-7.99337,-1.09875,17.4325,-73.5353,770.604
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_8_1.raw,-0.54379,14.6292,-5.12916,-0.453376,19.4644,-71.0586,769.729
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_8_2.raw,4.40602,18.8714,-9.37138,-1.9529,15.1158,-68.0523,766.696
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_8_3.raw,4.47356,17.0641,-7.56413,-1.90554,15.8053,-67.2272,766.063
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_9_1.raw,1.6012,21.0162,4.48378,-1.24548,14.3133,-66.6732,767.116
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_9_2.raw,1.1947,18.7397,6.76027,-2.86996,12.9347,-68.8105,767.602
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1200.2.P/DP_9_3.raw,1.6412,19.9881,5.51188,-2.88989,12.1789,-68.6576,767.245
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.E/DP_1_1.raw,6.14182,9.87326,24.1267,-1.30125,45.8981,-47.7775,725.493
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.E/DP_1_2.raw,1.49112,1.42475,32.5752,0.225482,50.6443,-58.9339,723.708
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.E/DP_1_3.raw,0.657986,2.36602,31.634,0.302372,49.3854,-59.0249,723.493
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.E/DP_2_1.raw,3.12228,5.09077,-2.59077,-0.436337,49.0106,-51.0925,723.19
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.E/DP_2_2.raw,1.50418,7.01917,-4.51917,0.217824,46.9124,-58.8508,722.527
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.E/DP_2_3.raw,2.20729,4.5309,-2.0309,0.683929,49.5793,-54.1924,722.21
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.E/DP_3_1.raw,1.8055,1.14644,1.35356,1.17586,52.6497,-55.4283,721.219
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.E/DP_3_2.raw,0.572988,4.19839,-1.69839,1.15456,49.8358,-58.0167,722.654
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.E/DP_3_3.raw,2.27416,6.33761,-3.83761,0.489351,48.5087,-54.3289,722.3
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.E/DP_4_1.raw,1.67241,5.76674,28.2333,0.887196,48.2104,-52.5519,721.466
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.E/DP_4_2.raw,5.97443,6.73041,27.2696,-0.5528,46.678,-47.2454,720.013
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.E/DP_4_3.raw,7.06905,4.07832,29.9217,-0.660815,48.6572,-43.9006,720.868
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.E/DP_5_1.raw,3.29007,5.73354,11.7665,0.172049,45.8275,-51.1323,719.197
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.E/DP_5_2.raw,3.8551,2.20588,15.2941,1.34152,48.5018,-52.1525,718.067
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.E/DP_5_3.raw,2.03298,5.56388,11.9361,0.681626,46.1154,-54.0285,718.15
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.E/DP_6_1.raw,5.59563,7.04374,18.4563,-0.11904,47.3661,-48.3373,719.434
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.E/DP_6_2.raw,7.40605,10.4373,15.0627,-1.46398,44.5977,-42.8299,720.222
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.E/DP_6_3.raw,4.21068,6.45789,19.0421,0.210907,46.7891,-53.5286,719.828
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.E/DP_7_1.raw,6.28236,8.80057,0.69943,-0.0972195,44.0261,-48.8775,718.395
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.E/DP_7_2.raw,4.98829,6.52379,2.97621,0.0859424,44.7241,-50.2774,719.449
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.E/DP_7_3.raw,4.88034,1.00916,8.49084,0.585562,49.1304,-50.9419,719.03
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.E/DP_8_1.raw,5.73718,5.5111,3.9889,0.143322,48.0319,-47.3007,720.287
/fiddlestix/Users/varsha/Documents/ResearchEyetrackCode/eyetrack/all_images/test/1298.2.E/DP_8_2.raw,5.36946,7.59893,1.90107,-0.179684,42.9128,-51.9273,719.138
